ANZSCO_TITLE,2018,2019,2020,2021,Growth 2019 vs 2021,Growth 2018 vs 2021
Engineering Production Systems Workers,203.33333333333334,179.91666666666666,150.08333333333334,215.5,19.777674849467353,5.983606557377044
Enrolled and Mothercraft Nurses,337.5,460.6666666666667,461.8333333333333,775.8333333333334,68.41534008683068,129.87654320987656
Environmental Scientists,300.6666666666667,326.0833333333333,247.83333333333334,397.0,21.748019422438034,32.03991130820398
"Fashion, Industrial and Jewellery Designers",109.75,102.33333333333333,83.0,168.25,64.41368078175897,53.30296127562642
Fast Food Cooks,51.833333333333336,44.833333333333336,41.083333333333336,67.83333333333333,51.301115241635664,30.868167202572334
Fencers,30.916666666666668,19.166666666666668,27.333333333333332,41.75,117.82608695652172,35.040431266846355
Filing and Registry Clerks,151.5,170.08333333333334,92.5,152.08333333333334,-10.583047525722684,0.3850385038503913
"Film, Television, Radio and Stage Directors",50.666666666666664,46.083333333333336,37.916666666666664,65.91666666666667,43.037974683544306,30.098684210526333
Finance Managers,928.3333333333334,880.0,598.4166666666666,770.0833333333334,-12.4905303030303,-17.046678635547575
Financial Brokers,277.6666666666667,235.08333333333334,220.41666666666666,315.5833333333333,34.243176178660036,13.655462184873935
Financial Dealers,47.166666666666664,40.25,28.666666666666668,55.833333333333336,38.71635610766046,18.374558303886936
Financial Investment Advisers and Managers,980.0,865.0,589.75,776.4166666666666,-10.240847784200389,-20.77380952380953
Fire and Emergency Workers,30.416666666666668,37.916666666666664,33.833333333333336,46.833333333333336,23.51648351648353,53.97260273972603
Fitness Instructors,379.3333333333333,361.6666666666667,281.5,343.75,-4.953917050691249,-9.380492091388398
Floor Finishers,23.75,16.833333333333332,19.75,29.25,73.76237623762377,23.157894736842106
Florists,29.0,24.75,31.416666666666668,53.583333333333336,116.4983164983165,84.77011494252874
Food Trades Assistants,47.75,37.666666666666664,33.0,48.166666666666664,27.87610619469027,0.8726003490401346
Food and Drink Factory Workers,83.83333333333333,85.91666666666667,89.33333333333333,151.91666666666666,76.81862269641123,81.21272365805169
Forestry and Logging Workers,34.166666666666664,27.666666666666668,21.0,41.833333333333336,51.204819277108435,22.439024390243915
Forklift Drivers,1434.6666666666667,1194.1666666666667,1043.75,1527.9166666666667,27.948360083740404,6.499767657992566
Freight and Furniture Handlers,141.66666666666666,123.41666666666667,123.5,222.5,80.28359216745442,57.058823529411775
Funeral Workers,27.583333333333332,25.916666666666668,20.5,37.083333333333336,43.08681672025724,34.441087613293064
"Gallery, Library and Museum Technicians",18.833333333333332,23.583333333333332,18.666666666666668,25.833333333333332,9.540636042402827,37.16814159292036
"Gallery, Museum and Tour Guides",49.833333333333336,49.25,23.5,52.416666666666664,6.4297800338409425,5.183946488294304
Gaming Workers,100.16666666666667,102.25,76.16666666666667,134.75,31.784841075794624,34.525790349417626
Garden and Nursery Labourers,237.16666666666666,204.83333333333334,235.16666666666666,406.25,98.33197721724979,71.29304286718202
Gardeners,626.25,624.25,577.4166666666666,918.6666666666666,47.16326258176478,46.693280106453756
General Clerks,8690.333333333334,8357.083333333334,6299.583333333333,11052.333333333334,32.25108440943311,27.179624870545815
General Managers,482.0,460.0833333333333,364.1666666666667,528.5833333333334,14.888607136388348,9.664591977869993
Generalist Medical Practitioners,897.4166666666666,1062.8333333333333,1163.1666666666667,1582.1666666666667,48.863101771993115,76.30234933605722
Geologists and Geophysicists,126.0,138.08333333333334,133.75,252.08333333333334,82.55884127942063,100.06613756613758
Glaziers,75.91666666666667,69.25,67.0,93.83333333333333,35.49939831528279,23.60043907793632
Graphic Pre-press Trades Workers,21.416666666666668,21.666666666666668,16.25,22.75,4.999999999999994,6.225680933852134
"Graphic and Web Designers, and Illustrators",818.5,700.6666666666666,504.9166666666667,835.5833333333334,19.25547098001904,2.0871512930156837
Greenkeepers,106.91666666666667,107.58333333333333,97.66666666666667,162.0,50.58094500387297,51.5198752922837
Hairdressers,567.8333333333334,521.0833333333334,559.4166666666666,784.6666666666666,50.58371981448902,38.18608746697973
Handypersons,472.1666666666667,412.8333333333333,338.0833333333333,624.8333333333334,51.35244247073074,32.333215672432054
Health and Welfare Services Managers,252.83333333333334,262.1666666666667,273.0833333333333,423.9166666666667,61.69739351557533,67.66644693473962
Hotel Service Managers,117.0,109.58333333333333,82.0,165.33333333333334,50.874524714828915,41.31054131054132
Hotel and Motel Managers,316.5833333333333,331.4166666666667,241.83333333333334,452.25,36.459642946944925,42.853382469070816
Housekeepers,334.1666666666667,327.4166666666667,321.5,683.1666666666666,108.65360142529903,104.43890274314211
Human Resource Clerks,48.5,52.0,34.333333333333336,70.83333333333333,36.21794871794871,46.04810996563573
Human Resource Managers,579.3333333333334,513.1666666666666,374.6666666666667,662.4166666666666,29.084118220201365,14.341196777905624
Human Resource Professionals,2999.1666666666665,2923.6666666666665,1795.4166666666667,3323.1666666666665,13.66434842093262,10.80300083356488
ICT Business and Systems Analysts,3039.9166666666665,2964.8333333333335,2071.1666666666665,3263.6666666666665,10.079262465568599,7.360399133748184
ICT Managers,490.25,476.4166666666667,384.8333333333333,610.25,28.091656463179987,24.47730749617542
ICT Sales Assistants,28.166666666666668,23.0,15.083333333333334,22.0,-4.3478260869565215,-21.893491124260358
ICT Sales Professionals,28.166666666666668,30.75,23.666666666666668,32.583333333333336,5.9620596205962135,15.680473372781067
ICT Support Technicians,1457.0,1389.6666666666667,969.6666666666666,1506.25,8.389301990885098,3.3802333562113938
ICT Support and Test Engineers,583.25,571.4166666666666,423.3333333333333,778.75,36.28408925185943,33.5190741534505
ICT Trainers,14.75,23.0,13.333333333333334,12.666666666666666,-44.92753623188406,-14.124293785310737
"Importers, Exporters and Wholesalers",27.166666666666668,18.916666666666668,15.083333333333334,26.583333333333332,40.528634361233465,-2.14723926380369
Indigenous Health Workers,36.416666666666664,40.666666666666664,50.916666666666664,81.08333333333333,99.38524590163934,122.65446224256293
Industrial Spraypainters,197.08333333333334,153.16666666666666,134.41666666666666,232.58333333333334,51.84983677910774,18.012684989429175
"Industrial, Mechanical and Production Engineers",733.5833333333334,700.0833333333334,504.1666666666667,803.5,14.77205094631591,9.530841758491418
Inquiry Clerks,407.9166666666667,404.3333333333333,274.8333333333333,580.75,43.63149216817808,42.36976506639427
Inspectors and Regulatory Officers,815.25,929.3333333333334,848.8333333333334,1116.3333333333333,20.121951219512184,36.93141163242358
Insulation and Home Improvement Installers,79.25,58.75,72.5,110.91666666666667,88.79432624113475,39.95793901156678
Insurance Agents,529.6666666666666,512.1666666666666,378.3333333333333,503.5,-1.69215750081353,-4.9402139710509685
"Insurance Investigators, Loss Adjusters and Risk Surveyors",558.6666666666666,586.8333333333334,394.6666666666667,504.25,-14.072706617438232,-9.740453460620518
"Insurance, Money Market and Statistical Clerks",58.416666666666664,54.583333333333336,40.083333333333336,68.08333333333333,24.7328244274809,16.547788873038513
Intelligence and Policy Analysts,553.25,571.0833333333334,470.5833333333333,734.75,28.658981467970225,32.80614550384094
Interior Designers,453.9166666666667,256.25,112.08333333333333,204.5,-20.195121951219512,-54.947677620708646
Internal Medicine Specialists,226.58333333333334,250.33333333333334,255.41666666666666,331.3333333333333,32.35685752330225,46.23023170283191
Jewellers,22.25,20.583333333333332,20.0,33.416666666666664,62.34817813765182,50.187265917602986
Journalists and Other Writers,455.3333333333333,438.6666666666667,344.5,581.8333333333334,32.63677811550153,27.78184480234262
Keyboard Operators,274.0,242.08333333333334,153.08333333333334,244.08333333333334,0.8261617900172116,-10.918491484184912
Kitchenhands,859.6666666666666,894.75,757.25,2179.4166666666665,143.57828071155814,153.5188057386584
Land Economists and Valuers,84.83333333333333,81.58333333333333,82.75,150.75,84.78038815117468,77.70137524557957
Laundry Workers,58.666666666666664,48.083333333333336,47.916666666666664,86.5,79.89601386481802,47.44318181818182
Librarians,70.41666666666667,74.5,50.583333333333336,80.41666666666667,7.941834451901572,14.201183431952662
Library Assistants,23.916666666666668,24.25,18.416666666666668,28.083333333333332,15.807560137457038,17.421602787456436
Licensed Club Managers,90.16666666666667,84.25,72.75,111.75,32.640949554896146,23.93715341959334
Life Scientists,87.91666666666667,98.33333333333333,107.25,209.0,112.54237288135593,137.7251184834123
Livestock Farm Workers,53.166666666666664,48.333333333333336,57.083333333333336,92.75,91.89655172413792,74.45141065830721
Livestock Farmers,36.0,46.416666666666664,46.333333333333336,77.41666666666667,66.78635547576303,115.0462962962963
Mail Sorters,16.916666666666668,12.25,9.75,18.416666666666668,50.34013605442178,8.866995073891625
Management and Organisation Analysts,1011.8333333333334,965.3333333333334,625.25,968.75,0.35393646408839385,-4.257947619831992
Manufacturers,22.083333333333332,17.75,14.583333333333334,26.833333333333332,51.173708920187785,21.50943396226415
Marine Transport Professionals,41.666666666666664,48.583333333333336,33.333333333333336,72.33333333333333,48.88507718696396,73.6
Massage Therapists,102.83333333333333,102.0,108.66666666666667,174.16666666666666,70.7516339869281,69.3679092382496
"Meat Boners and Slicers, and Slaughterers",47.083333333333336,47.25,43.5,41.25,-12.698412698412698,-12.389380530973455
"Meat, Poultry and Seafood Process Workers",38.916666666666664,57.416666666666664,65.16666666666667,82.25,43.25108853410741,111.34903640256961
Mechanical Engineering Draftspersons and Technicians,92.66666666666667,95.16666666666667,72.66666666666667,126.16666666666667,32.57443082311733,36.15107913669065
Medical Imaging Professionals,378.6666666666667,445.5833333333333,302.9166666666667,439.25,-1.4213577707125449,15.999119718309855
Medical Laboratory Scientists,94.08333333333333,96.83333333333333,90.41666666666667,139.0,43.54561101549054,47.74136403897255
Medical Technicians,309.8333333333333,313.25,300.6666666666667,506.1666666666667,61.585528065975005,63.36740182894031
"Metal Casting, Forging and Finishing Trades Workers",12.0,10.166666666666666,10.416666666666666,13.0,27.868852459016402,8.333333333333332
Metal Engineering Process Workers,14.416666666666666,8.416666666666666,6.25,11.583333333333334,37.62376237623764,-19.653179190751437
Metal Fitters and Machinists,2333.0,2257.0833333333335,1702.9166666666667,2499.9166666666665,10.75872254015136,7.154593513359045
Middle School Teachers (Aus) / Intermediate School Teachers (NZ),2.9166666666666665,4.25,4.0,3.0833333333333335,-27.45098039215686,5.714285714285724
Midwives,118.58333333333333,123.83333333333333,120.58333333333333,221.16666666666666,78.60026917900403,86.5073787772312
Mining Engineers,636.9166666666666,719.75,554.3333333333334,751.1666666666666,4.364941530624054,17.937982467617427
Ministers of Religion,26.583333333333332,30.25,26.583333333333332,43.833333333333336,44.90358126721764,64.89028213166146
Mixed Crop and Livestock Farm Workers,117.41666666666667,104.58333333333333,143.33333333333334,261.3333333333333,149.8804780876494,122.56919801277498
Mixed Crop and Livestock Farmers,57.5,66.91666666666667,70.08333333333333,105.83333333333333,58.15691158156909,84.05797101449275
Models and Sales Demonstrators,519.6666666666666,450.1666666666667,353.5833333333333,707.5,57.16401332839688,36.14496472097499
Motor Mechanics,2651.9166666666665,2504.75,2010.9166666666667,3401.5833333333335,35.805303257144764,28.26886214373253
Motor Vehicle Parts and Accessories Fitters,154.58333333333334,128.16666666666666,137.91666666666666,221.75,73.01690507152146,43.450134770889484
Motor Vehicle and Vehicle Parts Salespersons,615.9166666666666,543.6666666666666,445.3333333333333,749.1666666666666,37.79889638258737,21.634420240833446
Multimedia Specialists and Web Developers,279.3333333333333,225.0,157.58333333333334,229.75,2.111111111111111,-17.750596658711213
Music Professionals,10.583333333333334,10.416666666666666,7.916666666666667,10.083333333333334,-3.199999999999989,-4.724409448818897
Nurse Educators and Researchers,91.58333333333333,96.66666666666667,116.16666666666667,200.58333333333334,107.5,119.01728844404005
Nurse Managers,179.16666666666666,207.08333333333334,188.75,261.5833333333333,26.31790744466799,46.0
Nurserypersons,49.083333333333336,43.333333333333336,43.666666666666664,63.0,45.38461538461538,28.353140916808144
Nursing Support and Personal Care Workers,558.75,645.3333333333334,774.25,1214.75,88.23605371900825,117.40492170022372
Occupational Therapists,546.3333333333334,879.0,1025.75,1515.25,72.38339021615472,177.3489932885906
Occupational and Environmental Health Professionals,653.5,672.0,552.5,888.4166666666666,32.20486111111111,35.947462382045394
Office Managers,997.3333333333334,910.25,646.0833333333334,1125.6666666666667,23.665659617321257,12.867647058823534
Optometrists and Orthoptists,88.16666666666667,37.833333333333336,21.166666666666668,46.416666666666664,22.68722466960351,-47.35349716446125
Other Accommodation and Hospitality Managers,57.833333333333336,54.166666666666664,55.333333333333336,80.33333333333333,48.30769230769231,38.904899135446676
Other Building and Engineering Technicians,646.5,571.1666666666666,428.25,611.75,7.105339947475933,-5.375096674400619
Other Cleaners,41.083333333333336,39.416666666666664,46.25,70.33333333333333,78.43551797040169,71.1967545638945
Other Clerical and Office Support Workers,78.5,67.41666666666667,58.416666666666664,89.25,32.38566131025957,13.694267515923567
Other Construction and Mining Labourers,67.83333333333333,63.916666666666664,55.833333333333336,73.75,15.384615384615389,8.722358722358729
Other Education Managers,81.25,80.75,64.58333333333333,91.25,13.003095975232199,12.307692307692308
Other Engineering Professionals,294.75,319.8333333333333,233.16666666666666,372.8333333333333,16.571130797290255,26.491376873056254
Other Factory Process Workers,450.3333333333333,349.9166666666667,387.25,663.9166666666666,89.73565134555844,47.427831236121385
"Other Farm, Forestry and Garden Workers",85.0,72.25,89.83333333333333,143.75,98.96193771626297,69.11764705882352
Other Health Diagnostic and Promotion Professionals,26.666666666666668,56.5,37.416666666666664,58.083333333333336,2.802359882005904,117.81250000000001
"Other Hospitality, Retail and Service Managers",852.1666666666666,819.8333333333334,588.25,832.6666666666666,1.5653588127668132,-2.2882847643262276
Other Information and Organisation Professionals,194.16666666666666,218.66666666666666,174.41666666666666,301.8333333333333,38.03353658536585,55.45064377682402
Other Machine Operators,667.1666666666666,534.9166666666666,514.9166666666666,828.5,54.8839383081477,24.181863602298286
Other Medical Practitioners,78.25,97.75,91.16666666666667,156.08333333333334,59.6760443307758,99.46751863684771
Other Miscellaneous Clerical and Administrative Workers,281.3333333333333,264.5,170.08333333333334,320.0,20.982986767485823,13.744075829383895
Other Miscellaneous Labourers,3699.5,3039.3333333333335,2785.0833333333335,4424.833333333333,45.58565474884841,19.606253097265387
Other Miscellaneous Technicians and Trades Workers,509.9166666666667,544.5833333333334,501.5,840.5,54.3381790359602,64.83085471482268
Other Mobile Plant Operators,253.33333333333334,233.58333333333334,226.25,297.3333333333333,27.292186942561532,17.368421052631568
Other Natural and Physical Science Professionals,81.08333333333333,84.33333333333333,70.66666666666667,112.25,33.10276679841898,38.43782117163413
Other Sales Assistants and Salespersons,57.0,48.583333333333336,35.583333333333336,60.583333333333336,24.699828473413376,6.286549707602343
Other Sales Support Workers,392.8333333333333,260.5833333333333,96.75,262.3333333333333,0.6715701950751519,-33.220195163343234
Other Specialist Managers,561.5,579.5833333333334,446.25,724.4166666666666,24.989216391085538,29.01454437518551
Other Stationary Plant Operators,245.08333333333334,248.91666666666666,215.91666666666666,319.4166666666667,28.322731837964525,30.329819789187358
Outdoor Adventure Guides,6.166666666666667,4.5,4.833333333333333,11.833333333333334,162.962962962963,91.8918918918919
Packers,464.5,424.75,457.25,834.5,96.46851088875809,79.65554359526372
Painting Trades Workers,363.25,299.5833333333333,317.1666666666667,577.3333333333334,92.71210013908208,58.935535673319585
Panelbeaters,150.58333333333334,115.08333333333333,94.75,175.41666666666666,52.42577842143375,16.491422246817915
Paper and Wood Processing Machine Operators,25.75,18.25,17.5,27.083333333333332,48.40182648401826,5.177993527508086
Paving and Surfacing Labourers,26.916666666666668,25.25,18.833333333333332,23.666666666666668,-6.270627062706266,-12.074303405572754
Payroll Clerks,1048.25,1051.9166666666667,716.9166666666666,1015.6666666666666,-3.4460904697774013,-3.108355195166551
